date,minute,open,high,low,close,vwap
2026-05-29,2026-05-29 09:00,23742.65,23742.65,23742.65,23742.65,23742.65
2026-05-29,2026-05-29 09:02,23883.2,23883.2,23883.2,23883.2,23812.93
2026-05-29,2026-05-29 09:03,23800.35,23800.35,23800.35,23800.35,23808.73
2026-05-29,2026-05-29 09:05,23873.05,23873.05,23873.05,23873.05,23824.81
2026-05-29,2026-05-29 09:07,23902.5,23902.5,23902.5,23902.5,23840.35
2026-05-29,2026-05-29 09:08,23902.15,23902.15,23902.15,23902.15,23850.65
2026-05-29,2026-05-29 09:10,23902.15,23902.15,23902.15,23902.15,23858.01
2026-05-29,2026-05-29 09:12,23902.15,23902.15,23902.15,23902.15,23863.53
2026-05-29,2026-05-29 09:13,23902.15,23902.15,23902.15,23902.15,23867.82
